"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Environment","Forest and Climate Change","Department of Environment","Building Climate Resilient Livelihoods in Vulnerable Landscapes in Bangladesh (BCRL) Project","","Dhaka","Services","NCT","RFA","","","221960","1322539","Individual Consultant (IC)","Development","Aid or Grant","223049000","Building Climate Resilient Livelihoods in Vulnerable Landscapes in Bangladesh (BCRL) Project","DoE_BcRL_SD_01-26 Communication Expert_Individual Consultant","Research and development services and related consultancy services.; Research and experimental development services; Research services; Experimental development services; Research and development consultancy services; Research consultancy services; Development consultancy services; Design and execution of research and development;","25-Aug-2026 09:00","09-Sep-2026 16:00","• Minimum bachelor’s degree in English, communications, journalism or other related field; • Excellent knowledge of MS-Office; • Good knowledge of software such as InDesign and Adobe Photoshop preferred; • Experience and proven relationship with Bangladesh media; • Fluency in English and sound ability to produce communication and advocacy materials in English.","• Assist the National Project Director in all communication-related activities of the project; • Coordinate the design and implementation of project communications strategy, including internal and external communication products; • Draft text, Power point presentations, press releases, and graphical materials as required by MoEFCC, DAE, and DoE for project activities. • Support the effective communication between core project team, FAO, and other project counterparts (including government line departments and agencies) by establishing necessary coordination and communication mechanisms; • Prepare and disseminate regular project updates via newsletters or project briefs to all stakeholders, including development partners; • Coordinate with journalists and publications in Bangladesh on briefings and invites for project events, and monitor media for news on project or project activities; • Coordinate with Regional Project Coordinators and other sub-national project staff for updates and stories on project activities and photos; • Provide inputs to the preparation of project reports (biannual project progress reports, project implementation reviews and project terminal report, annual work plan and budget, co-financing reports); • Prepare communication materials and ensure the visibility of the project activities in social media • Assist in organization of workshops, field visits, meetings, and consultations, and review and lay out material (agenda, concept notes, meeting minutes or proceedings) prepared for the same; • Liaise with DAE, DoE and FAO officials during implementing the project activities; • Provide translation services for project activities and documents, where required; • Any other task as assigned by the NPD, DPD-DoE.","Package wise","","","","","","08-Jan-2027","","","Dhaka","","30-Sep-2026","29-Jun-2028","Razinara Begum","National Project Director","Address : E-16, Agargaon, Dhaka City : Dhaka - 1207 Thana : Dhaka North City Corporation District : Dhaka - 1207 Country : Bangladesh","E-16, Agargaon, Dhaka","Dhaka - 1207","Dhaka North City Corporation","Dhaka - 1207","02-222218315","","4212000.00, IC","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322539"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Chapainawabganj 250 bed District Hospital","","Chapai Nawabganj","Goods","NCT","TENDER","Tender - Single Lot","Sup/ZHC/Acc/e-Tender/2026-27/1599","228768","1317963","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","Sup/ZHC/Acc/MSR/2026-27/GR-5 Procurement of Chemical Reagent for the F.Y 2026-2027 at Chapainawabganj 250 Bed District Hospital, Chapainawabganj.","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks","25-Aug-2026 12:00","08-Sep-2026 11:00","As Per TDS & PCC","Procurement of Chemical Reagent for the F.Y 2026-2027 at Chapainawabganj 250 Bed District Hospital, Chapainawabganj.","Lot wise","Package wise","Package wise","4000","Payment through Bank","03-Feb-2027","03-Feb-2027","Single Lot","Procurement of Chemical Reagent for the F.Y 2026-2027 at Chapainawabganj 250 Bed District Hospital, Chapainawabganj.","Chapainawabganj 250 Bed District Hospital, Chapainawabganj","800000","01-Oct-2026","15-Nov-2026","Jamir Md. Hasibus Sattar","Superintendent","Address : Hospital Road, Chapai Nawabganj-6300 City : Chapainawabganj Thana : Chapainawabganj Sadar District : Chapai Nawabganj - 6300 Country : Bangladesh","Hospital Road, Chapai Nawabganj-6300","Chapainawabganj","Chapainawabganj Sadar","Chapai Nawabganj - 6300","0781-52489","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1317963"
"Ministry of Home Affairs","","Bangladesh Police","Industrial Police-5, Mymensingh","","Mymensingh","Goods","NCT","TENDER","Tender - Single Lot","Memo No- 650","226781","1322161","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","IP-5/e-tender/2026-27/2nd Quarter/Lentil-02 Procurement Of High Quality Lentil (2nd Quarter) FY-2026-2027 (October/2026 To December/2026).","Food products and beverages;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","25-Aug-2026 11:00","07-Sep-2026 18:00","1. copy of valid trade license. 2. Updated income tax clearance certificate & e-TIN certificate. 3. Updated vat registration certificate. 4. A latest certified copy of bank solvency certificate & detail bank statement. 5. A certificate of ownership of the company. 6. Citizenship certificate & national identity card copy. 7. Tender Document Purchase Voucher. 8. If the market price of lentil increases, no objection/application from the bidder will be accepted. 9. Lentil must be supplied as per the requirement of the Superintendent of Police, Industrial Police-5, Mymensingh. 10. Similar works experience certificate for Last 03 years, with a value of at least Tk. 6,50,000/- 11. Tenderer should submit a sample of (1 Kg) high quality Lentil before the tender opening. Samples of high quality lentils:- 01. Grain size: The grains should be small and there should be at least 600 grains per 10 grams of dal. 02. Color: Yellow to red-orange color (Yellow to red orange). 03. Cooking time: It will be cooked within 10 to 20 minutes on normal heat. 04. Smell: A pleasant smell must be emitted during cooking. 05. The shell should obviously be removed. Unwanted objects (such as sand, stones, etc.) must be removed. 06. Description of the grains: The grains should be whole. The grains should be of uniform size. Black/other colored grains should be removed. 07. Taste: It should be delicious. 08. Hardness: When chewed with the teeth, the grains of the dal should break but not flatten. That is, it should be properly dried. 09. Packing: To be supplied in sacks/bags of maximum 5 kg. 10. Standard: To be of high quality fine grain pulses.","IP-5/e-tender/2026-27/2nd Quarter/Lentil-02 Procurement Of High Quality Lentil (2nd Quarter) FY-2026-2027 (October/2026 To December/2026).","Lot wise","Package wise","Package wise","1000","Payment through Bank","04-Jan-2027","04-Jan-2027","01","Procurement Of High Quality Lentil (2nd Quarter) FY-2026-2027 (October/2026 To December/2026).","IP-5, Bhorodoba, Bhaluka, Mymensingh","25000","01-Oct-2026","31-Dec-2026","Md.Ansar uddin","SP","Address : Industrial Police-5, Mymensingh City : Mymensingh Thana : Mymensingh City Corporation District : Mymensingh - 2200 Country : Bangladesh","Industrial Police-5, Mymensingh","Mymensingh","Mymensingh City Corporation","Mymensingh - 2200","02-000000","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322161"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Ferry Construction Division, Dhaka","eefeddha","Dhaka","Works","NCT","TENDER","Tender - Single Lot","Memo No:35.01.0000.157.07.001.26-153, Date:16.8.26","228214","1321660","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","06/egp/FCD/2026-27 Repair & Painting works for the Ferry no: UT-1-039/2015 at ""Baroipara-Kalia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Repair, maintenance and associated services related to marine and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;","25-Aug-2026 12:00","09-Sep-2026 16:00","All tenderers who have registered in e-GP system may participate in the tender provided that they fulfill the criteria as stated in Tender Document (TDS & PCC).","Repair & Painting works for the Ferry no: UT-1-039/2015 at ""Baroipara-Kalia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Lot wise","Package wise","Package wise","1000","Payment through Bank","06-Jan-2027","06-Jan-2027","01","Repair & Painting works for the Ferry no: UT-1-039/2015 at ""Baroipara-Kalia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Ferry Sub-Division, Faridpur","30000","20-Sep-2026","11-Oct-2026","Md. Azam Shaikh","Executive Engineer","Address : Ferry Construction Division, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1208 Country : Bangladesh","Ferry Construction Division, Dhaka","Dhaka","Dhaka North City Corporation","Dhaka - 1208","02-8879377","02-8879377","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321660"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Chapainawabganj 250 bed District Hospital","","Chapai Nawabganj","Goods","NCT","TENDER","Tender - Single Lot","Sup/ZHC/Acc/e-Tender/2026-27/1599","228768","1317961","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","Sup/ZHC/Acc/MSR/2026-27/GR-4 Procurement of Gauze, Bandage & Cotton for the F.Y 2026-2027 at Chapainawabganj 250 Bed District Hospital, Chapainawabganj.","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks","25-Aug-2026 12:00","08-Sep-2026 11:00","As Per TDS & PCC","Procurement of Gauze, Bandage & Cotton for the F.Y 2026-2027 at Chapainawabganj 250 Bed District Hospital, Chapainawabganj.","Lot wise","Package wise","Package wise","1500","Payment through Bank","03-Feb-2027","03-Feb-2027","Single Lot","Procurement of Gauze, Bandage & Cotton for the F.Y 2026-2027 at Chapainawabganj 250 Bed District Hospital, Chapainawabganj.","Chapainawabganj 250 Bed District Hospital, Chapainawabganj","60000","01-Oct-2026","15-Nov-2026","Jamir Md. Hasibus Sattar","Superintendent","Address : Hospital Road, Chapai Nawabganj-6300 City : Chapainawabganj Thana : Chapainawabganj Sadar District : Chapai Nawabganj - 6300 Country : Bangladesh","Hospital Road, Chapai Nawabganj-6300","Chapainawabganj","Chapainawabganj Sadar","Chapai Nawabganj - 6300","0781-52489","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1317961"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Ferry Construction Division, Dhaka","eefeddha","Dhaka","Works","NCT","TENDER","Tender - Single Lot","Memo No:35.01.0000.157.07.001.26-153, Date:16.8.26","228214","1321661","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","07/egp/FCD/2026-27 Repair & Painting works for the Gangway bridge of Pontoon no: PI-152/2003 at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Mild steel; Miscellaneous fabricated metal products and related items; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment; Repair, maintenance and associated services related to aircraft and other equipment; Repair, maintenance and associated services related to railways and other equipment; Repair, maintenance and associated services related to roads and other equipment; Repair, maintenance and associated services related to marine and other equipment;","25-Aug-2026 12:00","09-Sep-2026 16:00","All tenderers who have registered in e-GP system may participate in the tender provided that they fulfill the criteria as stated in Tender Document (TDS & PCC).","Repair & Painting works for the Gangway bridge of Pontoon no: PI-152/2003 at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Lot wise","Package wise","Package wise","500","Payment through Bank","06-Jan-2027","06-Jan-2027","01","Repair & Painting works for the Gangway bridge of Pontoon no: PI-152/2003 at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Ferry Sub-Division, Faridpur","16000","20-Sep-2026","11-Oct-2026","Md. Azam Shaikh","Executive Engineer","Address : Ferry Construction Division, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1208 Country : Bangladesh","Ferry Construction Division, Dhaka","Dhaka","Dhaka North City Corporation","Dhaka - 1208","02-8879377","02-8879377","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321661"
"Ministry of Home Affairs","","Bangladesh Police","Office of the Superintendent of Police, Moulvibazar","00133","Moulvibazar","Goods","NCT","TENDER","Tender - Single Lot","02/2026-2027/10","227107","1322639","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","02/2026-2027/10 Supply of Labour for ration (Rice, Wheat andSugar) of Moulvibazar District Police Ration Store.","Architectural, engineering, construction, legal, accounting and other professional services; Legal, accounting, auditing, business, management and related services; Architectural, engineering, construction and related technical consultancy services; Testing, inspection, analysis, monitoring and control services; Advertising and marketing services; Labour recruitment and provision of personnel services.; Placement services of personnel.; Supply services of personnel.; Recruitment services.; Personnel services except placement and supply services; Investigation and security services; Cleaning services; Miscellaneous business and business-related services;Legal services;Accounting, auditing and fiscal services;Market research, public-opinion polling and related services;Business and management consultancy and related services;Management holdings services;Technical consultancy services;Architectural and related services;Engineering services;Integrated engineering services;Urban planning and landscape architectural services;Construction-related services;Engineering-related scientific and technical services;Technical testing and analysis services;Monitoring and control services;Advertising services;Marketing services;Security services;Investigation services;Accommodation cleaning services;Industrial cleaning services;Specialised cleaning services;Miscellaneous cleaning services;Office cleaning services;School cleaning services;Photographic and ancillary services;Packaging and related services;Secretarial and related services;Specialty design services;Collection agency services;Exhibition, fair and congress organisation services;Miscellaneous business-related services","25-Aug-2026 11:00","08-Sep-2026 16:00","As Per Tender Documents","02/2026-2027/10 Supply of Labour for ration (Rice, Wheat andSugar) of Moulvibazar District Police Ration Store.","Lot wise","Package wise","Package wise","500","Payment through Bank","11-Dec-2026","11-Dec-2026","1","Supply of Labour for ration (Rice, Wheat andSugar) of Moulvibazar District Police Ration Store.","Moulvibazar District Police Ration Store","4770","16-Sep-2026","23-Sep-2026","MD. MONIRUL ISLAM","SP","Address : Office of the Superintendent of Police, Moulvibazar City : Moulvibazar Thana : Moulvibazar Sadar District : Moulvibazar - 3200 Country : Bangladesh","Office of the Superintendent of Police, Moulvibazar","Moulvibazar","Moulvibazar Sadar","Moulvibazar - 3200","0861-52235","0861-63833","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322639"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Ferry Construction Division, Dhaka","eefeddha","Dhaka","Works","NCT","TENDER","Tender - Single Lot","Memo No:35.01.0000.157.07.001.26-153, Date:16.8.26","228214","1321664","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","10/egp/FCD/2026-27 Repairing works for Ferry no: UT-1-074/2020 at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Repair, maintenance and associated services related to marine and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;","25-Aug-2026 12:00","09-Sep-2026 16:00","All tenderers who have registered in e-GP system may participate in the tender provided that they fulfill the criteria as stated in Tender Document (TDS & PCC).","Repairing works for Ferry no: UT-1-074/2020 at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Lot wise","Package wise","Package wise","1000","Payment through Bank","06-Jan-2027","06-Jan-2027","01","Repairing works for Ferry no: UT-1-074/2020 at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Ferry Sub-Division, Faridpur","23000","20-Sep-2026","11-Oct-2026","Md. Azam Shaikh","Executive Engineer","Address : Ferry Construction Division, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1208 Country : Bangladesh","Ferry Construction Division, Dhaka","Dhaka","Dhaka North City Corporation","Dhaka - 1208","02-8879377","02-8879377","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321664"
"Ministry of Home Affairs","","Bangladesh Police","Equipment Section, Police Headquarters, Dhaka","00004","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","44.01.0000.453.07.083.26/07","229147","1321878","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","2026-27_FPU_Furniture_14 Semi Double Wooden Bed","Furniture; Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables;Seats, chairs and associated parts;Non-domestic furniture;Domestic furniture;Miscellaneous furniture and equipment;School furniture","25-Aug-2026 12:00","08-Sep-2026 10:00","1. Up to date Trade License 2. Current Income Tax Certificate 3. VAT Registration and 4. Other requirements described in the STD","Semi Double Wooden Bed","Lot wise","Package wise","Package wise","1500","Payment through Bank","05-Mar-2027","05-Mar-2027","14","Semi Double Wooden Bed","UN Log Base-2, Purbachal, Dhaka","90000","30-Sep-2026","15-Oct-2026","A H M Yeadul Islam","AIG","Address : Bangladesh Police, Police Headquarters, 6, Phoenix Road, Fulbaria, Dhaka-1000 City : Fulbaria, Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","Bangladesh Police, Police Headquarters, 6, Phoenix Road, Fulbaria, Dhaka-1000","Fulbaria, Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9585304","02-9563362","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321878"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Ferry Construction Division, Dhaka","eefeddha","Dhaka","Works","NCT","TENDER","Tender - Single Lot","Memo No:35.01.0000.157.07.001.26-153, Date:16.8.26","228214","1321666","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","12/egp/FCD/2026-27 Repair & Painting works for Pontoon no: PI-152/2003 at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Repair, maintenance and associated services related to marine and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;","25-Aug-2026 12:00","09-Sep-2026 16:00","All tenderers who have registered in e-GP system may participate in the tender provided that they fulfill the criteria as stated in Tender Document (TDS & PCC).","Repair & Painting works for Pontoon no: PI-152/2003 at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Lot wise","Package wise","Package wise","500","Payment through Bank","06-Jan-2027","06-Jan-2027","01","Repair & Painting works for Pontoon no: PI-152/2003 at ""Mohajon-Bordia"" Ferryghat under RHD, Ferry Sub-Division, Faridpur during the Fiscal year of 2026-2027.","Ferry Sub-Division, Faridpur","20000","20-Sep-2026","11-Oct-2026","Md. Azam Shaikh","Executive Engineer","Address : Ferry Construction Division, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1208 Country : Bangladesh","Ferry Construction Division, Dhaka","Dhaka","Dhaka North City Corporation","Dhaka - 1208","02-8879377","02-8879377","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321666"
"Ministry of Finance","Financial Institutions Division","Probashi Kallyan Bank","Common Service Department, Head Office.","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","PKB/HO//CSED/MCM/2026","229960","1318344","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","53.16.2666.910.99.002.2023 Procurement of 21 Nos. Note/Money Counting Machine for different branches across the country.","Machinery, equipment, appliances, apparatus and associated products; Office and computing machinery, equipment and supplies; Electrical machinery, apparatus, equipment and consumables; Radio, television, communication, telecommunication and related equipment and apparatus; Administration, defence and social security services; Printing, publishing and related services; Miscellaneous services;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.;Office machinery, equipment and supplies except computers;Word-processing machines;Photocopying and printing equipment;Post-office equipment;Calculating and accounting machines;Typewriters;Parts and accessories of typewriters and calculating machines;Various office equipment and supplies;Computer equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment;Electronic valves, tubes and electronic components;Electrical capacitors;Electrical resistors;Printed circuits;Valves and tubes;Semiconductors;Electronic integrated circuits and microassemblies;Parts of electronic assemblies;Modules;Transmission apparatus for radiotelephony, radiotelegraphy, radio broadcasting and television;Broadcasting equipment;Television transmission apparatus without reception apparatus;Radio transmission apparatus with reception apparatus;Television cameras;Mobile telephones;Data-transmission equipment;Digital transmission apparatus;Television and radio receivers, and sound or video recording or reproducing apparatus;Radio broadcast receivers;Television and audio-visual equipment;Apparatus for sound, video-recording and reproduction;Microphones and loudspeakers;Parts of sound and video equipment;Intercom equipment;Networks;Local area network;Network equipment;Wide area network;Telemetry and terminal equipment;Telecommunications equipment and supplies;Wireless telecommunications system;Telecommunications cable and equipment;Satellite-related communications equipment;Switchboards;Telephone equipment;Fibre-optic materials;Communications equipment;Data equipment;Administration services;General public services;Administrative services of agencies;Supporting services for the government;Provision of services to the community;Foreign affairs and other services;Defence services;Justice services;Public security, law and order services;Fire-brigade and rescue services;Compulsory social security services;Benefit services;Government employee pension schemes;Family allowances;Child allowances;Printing services;Printing services for books;Printing services for stationery;Printing services for security printed matter;Printing services for forms;Printing services for tickets;Printing services for calendars;Printing services for timetables;Newspaper printing services;Printing services for posters;Services related to printing;Print finishing services;Composition services;Printing and delivery services;Printing and distribution services;Publishing services;Bookbinding and finishing services;Subscription services;Washing and dry-cleaning services;Laundry-collection services;Textile-cleaning services;Fur-products cleaning services;Colouring services;Pressing services;Dyeing services;Hairdressing and beauty treatment services;Hairdressing services;Beauty treatment services;Physical well-being services;Turkish bath services;Spa services;Massage services;Accommodation and office services;Accommodation services;Civic-amenity services;Car-park management services;Marine services;Aquatic marine services;Port management services;Diving services;Funeral and related services;Funeral services;Miscellaneous services n.e.c.;Decommissioning services;Relocation services;Tailoring services;Upholstering services;Locksmith services;Clearing and Forwarding Agent;Service Provider (Others)","25-Aug-2026 10:00","06-Sep-2026 15:30","As per TDS","Procurement of 21 Nos. Note/Money Counting Machine for different branches across the country of Probashi Kallyan Bank.","Lot wise","Package wise","Package wise","1500","Payment through Bank","02-Jan-2027","02-Jan-2027","01","Procurement of 21 Nos. Note/Money Counting Machine for different branches across the country.","All over the country","50000","15-Sep-2026","15-Oct-2026","Md. Shahidur Rahman","Procuring Entity User","Address : Head Office, Probashi Kallyan Bhaban
71-72, Old Elephant Road, Eskaton, Dhaka. City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1000 Country : Bangladesh","","Dhaka","Dhaka North City Corporation","Dhaka - 1000","02-8321195","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318344"
