"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Rajbari Road Division","raj001","Rajbari","Works","NCT","TENDER","Tender - Single Lot","17/e-GP/RRD/2026-2027","229490","1331059","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","17/e-GP/RRD/2026-2027 Maintenance of existing Pavement with Seal Coat including necessary repair works at  Ch.36+800 to Ch. 39+900 of Ahaladipur-Rajbari-Pangsha-Kumarkhali-Kushtia (R-710) Road under  Road Division Rajbari, during the FY 2026-2027.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 11:20","28-Sep-2026 16:00","As Per TDS","Maintenance of existing Pavement with Seal Coat including necessary repair works at Ch.36+800 to Ch. 39+900 of Ahaladipur-Rajbari-Pangsha-Kumarkhali-Kushtia (R-710) Road under Road Division Rajbari, during the FY 2026-2027.","Lot wise","Package wise","Package wise","2500","Payment through Bank","24-Feb-2027","24-Feb-2027","1","Maintenance of existing Pavement with Seal Coat including necessary repair works at  Ch.36+800 to Ch. 39+900 of Ahaladipur-Rajbari-Pangsha-Kumarkhali-Kushtia (R-710) Road under  Road Division Rajbari, during the FY 2026-2027.","Rajbari Road Division","250000","15-Oct-2026","14-Dec-2026","Kumaresh Biswas","Executive Engineer","Address : Rajbari Road Division, Sarak Bhaban, Rajbari City : Rajbari Thana : Rajbari Sadar District : Rajbari - 0000 Country : Bangladesh","Rajbari Road Division, Sarak Bhaban, Rajbari","Rajbari","Rajbari Sadar","Rajbari - 0000","0641-65721","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1331059"
"Ministry of Home Affairs","","Prisons Directorate","Chandpur District Jail.","","Chandpur","Goods","NCT","TENDER","Tender - Single Lot","58.04.1300.122.04.035.26-4629 ; Date: 13/09/2026","225356","1333601","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-GP/Cpur/Vegetables/2026-27/Package- 4 Procurement of Various types of Vegetables Under package - 4 for the period of July/2026 to December/2026.","Agricultural, horticultural, hunting and related products; Food products and beverages;Crops, products of market gardening and horticulture;Cereals and other crops;Vegetables, horticultural products and nursery products;Fruit, nuts, beverage and spice crops;Live animals and animal products;Cattle and their products;Farm animals and their products;Pigs;Live poultry and eggs;Small live animals and their products;Products of mixed farming;Agricultural supplies;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","14-Sep-2026 11:00","22-Sep-2026 13:00","Qualification Criteria/Eligibility of Tenderer: All the Tenderer must follow the PPA-2006 and PPR-2025 Rules & Regulations. The Following documents are to be submitted/ uploaded as per standard tender document (STD). (a) The minimum of years of general experience of the Tenderer in the supply of Goods and related services as Supplier shall be 01(One) years. i.e. years counting backward from the date of publication of IFT in the e-GP System. (b) The minimum specific experience as supplier in supply of similar Goods at least 01(One) contract successfully completed within the last 10 (Ten) years, with a value of at least Tk.2,50,000/-. Years counting backward from the date of publication of IFT in the e-GP System. The tenderer will submit copy of contract deeds along with experience certificate in the e-GP system. (c) The minimum amount of liquid assets i.e working capital or credit line(s), net of other contractual commitments shall be Tk.3,50,000/-.[Certificate must be issued between publication of IFT and submission date in the e-GP system. (d) The tenderer must submit e-TIN certificate in the e-GP system. (e) Up-to-date Valid Trade License as supplier. (f) Up-to-date Income Tax clearance certificate. (g) e-BIN (13 Digits) Registration Certificate. (h) Certificate of incorporation (in case of limited company). (i) Manufacturer authorization letter or contract deed with the importers/ manufacturer (if the bidder is supplier) [When Applicable]. (j) All certificates must be attested by 1st class Govt. gazette officer.","Procurement of Various types of Vegetables Under package - 4","Lot wise","Package wise","Package wise","500","Payment through Bank","19-Mar-2027","19-Mar-2027","1","Procurement of Various types of Vegetables Under package - 4 for the period of July/2026 to December/2026.","Chandpur District Jail","9500","01-Oct-2026","31-Dec-2026","Md Joynal Abedin Bhuiyan","Jail Super","Address : Chandpur City : Chandpur Thana : Chandpur Sadar District : Chandpur - 3600 Country : Bangladesh","Chandpur","Chandpur","Chandpur Sadar","Chandpur - 3600","0841-63209","0841-63209","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1333601"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Rajbari Road Division","raj001","Rajbari","Works","NCT","TENDER","Tender - Single Lot","12/e-GP/RRD/2026-2027","229490","1331041","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","12/e-GP/RRD/2026-2027 Labour  supply  for Departmental Periodic maintenance work like Potholes Repair, Rutting and Undulation Repair, Raincut Repair, Painting of Existing Structures, Cleaning and clearing Road Divider, Sign Signal and Shoulder etc. at different Roads of Section-01,for time period of November/2026  for Road Sub-Division Rajbari, under Rajbari Road Division during FY 2026-2027.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 11:00","28-Sep-2026 16:00","As Per TDS","Labour supply for Departmental Periodic maintenance work like Potholes Repair, Rutting and Undulation Repair, Raincut Repair, Painting of Existing Structures, Cleaning and clearing Road Divider, Sign Signal and Shoulder etc. at different Roads of Section-01,for time period of November/2026 for Road Sub-Division Rajbari, under Rajbari Road Division during FY 2026-2027","Lot wise","Package wise","Package wise","500","Payment through Bank","24-Feb-2027","24-Feb-2027","1","Labour  supply  for Departmental Periodic maintenance work like Potholes Repair, Rutting and Undulation Repair, Raincut Repair, Painting of Existing Structures, Cleaning and clearing Road Divider, Sign Signal and Shoulder etc. at different Roads of Section-01,for time period of November/2026  for Road Sub-Division Rajbari, under Rajbari Road Division during FY 2026-2027.","Rajbari Road Division","8000","15-Oct-2026","15-Nov-2026","Kumaresh Biswas","Executive Engineer","Address : Rajbari Road Division, Sarak Bhaban, Rajbari City : Rajbari Thana : Rajbari Sadar District : Rajbari - 0000 Country : Bangladesh","Rajbari Road Division, Sarak Bhaban, Rajbari","Rajbari","Rajbari Sadar","Rajbari - 0000","0641-65721","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1331041"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Rajbari Road Division","raj001","Rajbari","Works","NCT","TENDER","Tender - Single Lot","14/e-GP/RRD/2026-2027","229490","1331046","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","14/e-GP/RRD/2026-2027 Maintenance of Existing Pavement with Aggregate Base Type-1, Carpeting and Seal Coat at  Ch. 10+050 to Ch. 11+070; of Rajbari- Baliakandi-Jamalpur-Modhukhali  (Z-7102) Road  under  Road Division, Rajbari During the FY  2026-2027.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 11:00","28-Sep-2026 16:00","As Per TDS","Maintenance of Existing Pavement with Aggregate Base Type-1, Carpeting and Seal Coat at Ch. 10+050 to Ch. 11+070; of Rajbari- Baliakandi-Jamalpur-Modhukhali (Z-7102) Road under Road Division, Rajbari During the FY 2026-2027","Lot wise","Package wise","Package wise","1000","Payment through Bank","24-Feb-2027","24-Feb-2027","1","Maintenance of Existing Pavement with Aggregate Base Type-1, Carpeting and Seal Coat at  Ch. 10+050 to Ch. 11+070; of Rajbari- Baliakandi-Jamalpur-Modhukhali  (Z-7102) Road  under  Road Division, Rajbari During the FY  2026-2027.","Rajbari Road Division","55000","15-Oct-2026","14-Dec-2026","Kumaresh Biswas","Executive Engineer","Address : Rajbari Road Division, Sarak Bhaban, Rajbari City : Rajbari Thana : Rajbari Sadar District : Rajbari - 0000 Country : Bangladesh","Rajbari Road Division, Sarak Bhaban, Rajbari","Rajbari","Rajbari Sadar","Rajbari - 0000","0641-65721","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1331046"
"Ministry of Energy","Power and Mineral Resources","Bangladesh Power Development Board","Executive Engineer (Maintenance),Titas 50 MW Peaking Power Plant, Comilla.","","Cumilla","Works","NCT","TENDER","Tender - Single Lot","27.11.1994.420.02.036.26.499 date: 12/09/26","227215","1328885","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","WR2 - M Yearly Repair and Maintenance works of AC of Titas 50MW Peaking Power Plant","Repair and maintenance services of electrical and mechanical building installations; Repair and maintenance services of building installations; Repair and maintenance services of cooler groups;","14-Sep-2026 11:00","27-Sep-2026 11:00","All eligible e-GP enlisted tenderer.","Yearly Repair and Maintenance works of AC of Titas 50MW Peaking Power Plant","Lot wise","Package wise","Package wise","500","Payment through Bank","22-Feb-2027","22-Feb-2027","1","Yearly Repair and Maintenance works of AC of Titas 50MW Peaking Power Plant","Titas 50 MW Peaking Power Plant, Titas, Cumilla","14500","01-Oct-2026","15-Jun-2027","Masudur Rahman","Executive Engineer","Address : Titas 50 MW Peaking Power Plant, Gouripur, TItas, Comilla. City : Gouripur Thana : Titas District : Cumilla - 3517 Country : Bangladesh","Titas 50 MW Peaking Power Plant, Gouripur, TItas, Comilla.","Gouripur","Titas","Cumilla - 3517","01755-502802","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1328885"
"Ministry of Finance","Internal Resource Division","National Board of Revenue","Taxes Zone-2, Dhaka","TZD2","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","Tax Zone-02/2026-2027/3211127","232357","1332848","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","Tax Zone-02/2026-2027/3211127 Procurement of Books & Periodicals","Various types of printed matter and articles for printing; Printed books, brochures and leaflets; Newspapers, journals, periodicals and magazines; Postcards, greeting cards and other printed matter; Stamps, cheque forms, banknotes, stock certificates, trade advertising material, catalogues and manuals; Printing plates or cylinders or other media for use in printing; Paper or paperboard registers, account books, binders, forms and other articles of printed stationery; Miscellaneous printed matter;Printed books;Publications;Directories;Leaflets;Brochures;Booklets;Newspapers;Postcards;Greeting cards;Stamps;Stamp-impressed paper;Banknotes;Cheque forms;Security-type printed matter;Trade-advertising material, commercial catalogues and manuals;Manuals;Offset plates;Dry-etching equipment;Paper or paperboard registers;Forms;Exercise books;Albums for samples;Binders and related accessories;Printed stationery except forms;Car-tax discs;Driving licences;ID cards;Permits;Entrance cards;Bespoke printed matter;Tickets","14-Sep-2026 10:30","24-Sep-2026 10:00","As per Tender Data Sheet (TDS)","Procurement of Books & Periodicals","Lot wise","Package wise","Package wise","500","Payment through Bank","20-Jan-2027","20-Jan-2027","1","Procurement of Books & Periodicals","Tax Zone 02","12500","25-Oct-2026","05-Nov-2026","Enamul Islam","DEPUTY COMMISSIONER OF TAXES","Address : 2nd 12 Storied Govt. Building, 1st Floor, 1 Segunbagicha, Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","2nd 12 Storied Govt. Building, 1st Floor, 1 Segunbagicha, Dhaka-1000","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-48320854","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1332848"
"Ministry of Finance","Internal Resource Division","National Board of Revenue","Taxes Zone-2, Dhaka","TZD2","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","Tax Zone-02/2026-2027/4112202","232357","1332938","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","Tax Zone-02/2026-2027/4112202 Procurement of Computers and Accessories","Office and computing machinery, equipment and supplies; Repair, maintenance and installation services; Computer and related services;Office machinery, equipment and supplies except computers;Word-processing machines;Photocopying and printing equipment;Post-office equipment;Calculating and accounting machines;Typewriters;Parts and accessories of typewriters and calculating machines;Various office equipment and supplies;Computer equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers;Repair, maintenance and associated services of vehicles and related equipment;Repair and maintenance services of motor vehicles and associated equipment;Demolition services of vehicles;Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;Repair, maintenance and associated services related to aircraft and other equipment;Repair, maintenance and associated services related to railways and other equipment;Repair, maintenance and associated services related to roads and other equipment;Repair, maintenance and associated services related to marine and other equipment;Repair, maintenance and associated services related to personal computers, office equipment, telecommunications and audio-visual equipment;Maintenance and repair of office machinery;Repair and maintenance services of personal computers;Maintenance services of telecommunications equipment;Repair and maintenance services of audio-visual and optical equipment;Repair and maintenance services of medical and precision equipment;Repair and maintenance services of measuring, testing and checking apparatus;Repair and maintenance services of medical and surgical equipment;Repair and maintenance services of precision equipment;Repair and maintenance services for pumps, valves, taps and metal containers and machinery;Repair and maintenance services of pumps, valves, taps and metal containers;Repair and maintenance services of machinery;Repair and maintenance services of building installations;Repair and maintenance services of electrical and mechanical building installations;Repair and maintenance services of central heating;Repair and maintenance services of cooler groups;Repair and maintenance services of escalators;Lift-maintenance services;Miscellaneous repair and maintenance services;Repair services of jewellery;Repair services of leather personal goods;Repair services of garments and textiles;Repair and maintenance services of weapons and weapon systems;Repair and maintenance services of furniture;Repair and maintenance services of musical instruments;Repair and maintenance services of playground equipment;Repair and maintenance services of hotel and restaurant equipment;Installation services;Installation services of electrical and mechanical equipment;Installation services of equipment for measuring, checking, testing and navigating;Installation services of communications equipment;Installation services of medical and surgical equipment;Installation services of machinery and equipment;Installation services of computers and office equipment;Installation services of metal containers;Hardware consultancy services;Hardware selection consultancy services;Hardware disaster-recovery consultancy services;Computer-site planning consultancy services;Computer hardware acceptance testing consultancy services;Computer audit consultancy and hardware consultancy services;Software programming and consultancy services;Programming services of packaged software products;Systems and technical consultancy services;Custom software development services;Systems analysis and programming services;System maintenance and support services;Software-related services;Data services;Data-processing services;Database services;Computer-related services;Computer-related management services;Computer support and consultancy services;Computer network services;Computer upgrade services;Computer audit services;Computer testing services;Computer back-up services;Computer catalogue conversion services;Computer-related professional services","14-Sep-2026 10:30","24-Sep-2026 10:00","As per Tender Data Sheet (TDS)","Procurement of Computers and Accessories","Lot wise","Package wise","Package wise","1000","Payment through Bank","20-Jan-2027","20-Jan-2027","1","Procurement of Computers and Accessories","Tax Zone 02","40000","25-Oct-2026","05-Nov-2026","Enamul Islam","DEPUTY COMMISSIONER OF TAXES","Address : 2nd 12 Storied Govt. Building, 1st Floor, 1 Segunbagicha, Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","2nd 12 Storied Govt. Building, 1st Floor, 1 Segunbagicha, Dhaka-1000","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-48320854","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1332938"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Panchbibi Upazila Health Complex , Joypurhat","","Joypurhat","Goods","NCT","TENDER","Tender - Single Lot","UHC-PANCH-MSR-26-27-FURN-1","230867","1330641","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC-PANCH-MSR-26-27-FURN-1 Procurement of Hospital Furniture Items for UHC Panchbibi  Joypurhat","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Retail trade services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Retail trade services of food products;Retail trade services of beverages;Retail trade services of furniture;Retail trade services of clothing;Retail trade services of construction materials;Retail trade services of printed matter;Retail trade services of office items;Retail trade services of horticultural products;Retail trade services of medical products","14-Sep-2026 10:12","24-Sep-2026 12:00","As per TDS","Procurement of Hospital Furniture Items for UHC Panchbibi Joypurhat","Lot wise","Package wise","Package wise","500","Payment through Bank","21-Dec-2026","21-Dec-2026","1","Procurement of Hospital Furniture Items for UHC Panchbibi  Joypurhat","UHC Panchbibi","12000","28-Sep-2026","24-Nov-2026","SREE TARUN KUMAR PAUL","UH&FPO","Address : Panchbibi , Joypurhat City : Panchbibi Thana : Panchbibi District : Joypurhat - 5910 Country : Bangladesh","Panchbibi , Joypurhat","Panchbibi","Panchbibi","Joypurhat - 5910","05-72475077","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1330641"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Baghaichari Upazila Health Complex, Rangamati","","Rangamati","Goods","NCT","TENDER","Tender - Single Lot","UHC/BAGHAI/MSR/LINEN/FY-26-27/LOT NO-04","230124","1328498","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/BAGHAI/MSR/LINEN/FY-26-27/LOT NO-04 Procurement of MSR Linen (Goods) for the FY-2026-27 at Upazila Health Complex Baghaichari, Rangamati.","Clothing and accessories;Occupational clothing, special workwear and accessories;Occupational clothing;Special workwear;Workwear accessories;Outerwear;Coats;Weatherproof clothing;Miscellaneous outerwear;Garments;Underwear;Shirts and nightwear;T-shirts;Special clothing and accessories;Special clothing;Clothing accessories;Hats and headgear;Fasteners;Leather clothes;Leather clothing accessories;Furs and articles of fur;Fur articles;Furs;Second-hand clothing","14-Sep-2026 10:10","01-Oct-2026 13:00","As per TDS.","Procurement of MSR Linen (Goods) for the FY-2026-27 at Upazila Health Complex Baghaichari, Rangamati.","Lot wise","Package wise","Package wise","500","Payment through Bank","26-Feb-2027","26-Feb-2027","1","Procurement of MSR Linen (Goods) for the FY-2026-27","UHC baghaichari Rangamati","10000","01-Nov-2026","31-Dec-2026","Md. Nadimul Islam","UH&FPO","Address : Baghaichari Upazila Health Complex, Rangamati City : Baghaichari Thana : Baghaichari District : Rangamati - 4590 Country : Bangladesh","Baghaichari Upazila Health Complex, Rangamati","Baghaichari","Baghaichari","Rangamati - 4590","0181-6237927","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1328498"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Panchbibi Upazila Health Complex , Joypurhat","","Joypurhat","Goods","NCT","TENDER","Tender - Single Lot","UHC-PANCH-MSR-26-27-CHEM-1","230867","1330640","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC-PANCH-MSR-26-27-CHEM-1 Procurement of Chemical reagent and Xray Flim Items  for UHC Panchbibi  Joypurhat","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Retail trade services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Retail trade services of food products;Retail trade services of beverages;Retail trade services of furniture;Retail trade services of clothing;Retail trade services of construction materials;Retail trade services of printed matter;Retail trade services of office items;Retail trade services of horticultural products;Retail trade services of medical products","14-Sep-2026 10:04","24-Sep-2026 12:00","As per TDS","Procurement of Chemical reagent and Xray Flim Items for UHC Panchbibi Joypurhat","Lot wise","Package wise","Package wise","500","Payment through Bank","21-Dec-2026","21-Dec-2026","1","Procurement of Chemical reagent and Xray Flim Items  for UHC Panchbibi  Joypurhat","UHC Panchbibi","10000","28-Sep-2026","24-Nov-2026","SREE TARUN KUMAR PAUL","UH&FPO","Address : Panchbibi , Joypurhat City : Panchbibi Thana : Panchbibi District : Joypurhat - 5910 Country : Bangladesh","Panchbibi , Joypurhat","Panchbibi","Panchbibi","Joypurhat - 5910","05-72475077","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1330640"
"Ministry of Home Affairs","","Bangladesh Police","Industrial Police-1, Dhaka","00212","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","IP-1/Admin/RS e-GP/2026-27/2nd qua/537/GD-9","225737","1320263","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","IP-1.Admin/Ration.e-tender.2026-27.Quater.537.GD-5 Procurement of Pilau Rice for Ration Store Industrial Police -1, Dhaka. 1st & 2nd Quarter (01 July 2026 to 31 December 2026). FY-2026-27","Food products and beverages;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","14-Sep-2026 10:00","27-Sep-2026 16:00","Tenderer shall have a minimum of 3 (Three) years of overall experience in the supply of goods and related services. Tenderers from all countries except Israel are eligible. Updated copy of valid trade license, Updated income tax clearance certificate & E-tin certificate, Updated vat registration certificate, A latest certified copy of bank solvency certificate & detail bank statement, A certificate of ownership of the company or Organization, Citizenship certificate or national identity card copy, Certificate of work proficiency, The product must have at least the equivalent of liquid assets, Must have a certificate of proficiency in the same work, Bank statements for the previous 03 (three) months of the mentioned quarter, As per TDS. The minimum specific experience as Supplier in supply of similar Goods of at least one (1) contract successfully completed within the last 03 years, with a value of at least Tk. 66,000/- i.e. years counting backward from the date of publication of IFT in the e-GP System. The minimum amount of financial resources as liquid asset or working capital or credit line(s) or specific credit commitment or in any combination of them, of the Tenderers shall be Tk 88,000/- Special Instruction: In case of credit line, Specific Format which is attached in Section: 6 (drawing), must be used. Cost for Related Services such as transportation, installation and service during warranty period (or as mentioned in e-PG2), etc. are to be inclusive with the quoted rate mentioned in Price and Delivery Schedule for Goods (Form e-PG2). Hence, quotation for related services must not be required separately. However, only for system requirement, you are requested to quote in Form e-PG2 unit price, for example 0.001. Once it is quoted, which will not be considered in total quoted amount.","Procurement of Pilau Rice for Ration Store Industrial Police -1, Dhaka. 2nd Quarter (01 October 2026 to 31 December 2026). FY-2026-27","Lot wise","Package wise","Package wise","500","Payment through Bank","25-Dec-2026","25-Dec-2026","01","Procurement of Pilau Rice for Ration Store Industrial Police -1, Dhaka. 1st & 2nd Quarter (01 July 2026 to 31 December 2026). FY-2026-27","Industrial Police-1, Post Office-DEPZ, Thana-Asulia, Upzilla- Savar, District-Dhaka","2000","01-Oct-2026","31-Dec-2026","MOHAMMAD MOMINUL ISLAM BHUIYAN","SP","Address : Industrial Police-1, Post Office-DEPZ, Thana-Asulia, Upzilla- Savar, District-Dhaka City : Asulia Thana : Savar District : Dhaka - 1340 Country : Bangladesh","Industrial Police-1, Post Office-DEPZ, Thana-Asulia, Upzilla- Savar, District-Dhaka","Asulia","Savar","Dhaka - 1340","02-2224498026","02-2224498018","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1320263"
